
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI

BvAxiH	BU	sawwAyAm	pa.pa	BU#1	BU1
BvAxiH	eXaz	vqxXO	A.pa	eX	eX1
BvAxiH	sparXaz	safGarRe	A.pa	sparX	sparX1
BvAxiH	gAXqz	granWe	A.pa	-	gAX1
BvAxiH	gAXqz	lipsAyAm	A.pa	-	gAX1
BvAxiH	gAXqz	prawiRTAyAm	A.pa	-	gAX1
BvAxiH	bAXqz	lodane	A.pa	bAX	bAX1
BvAxiH	bAXqz	rotane	A.pa	bAX	bAX1
BvAxiH	nAWqz	ASiRi	A.pa	nAW	nAW1
BvAxiH	nAWqz	ESvarye	A.pa	nAW	nAW1
BvAxiH	nAWqz	upawApe	A.pa	nAW	nAW1
BvAxiH	nAWqz	yAFcAyAm	A.pa	nAW	nAW1
BvAxiH	nAXqz	ASiRi	A.pa	-	nAX1
BvAxiH	nAXqz	ESvarye	A.pa	-	nAX1
BvAxiH	nAXqz	upawApe	A.pa	-	nAX1
BvAxiH	nAXqz	yAFcAyAm	A.pa	-	nAX1
BvAxiH	xaXaz	XAraNe	A.pa	-	xaX1
BvAxiH	skuxiz	ApravaNe	A.pa	-	skux1
BvAxiH	Svixiz	SvEwye	A.pa	-	Svix1
BvAxiH	vaxiz	aBivAxane	A.pa	vanx	vax2
BvAxiH	vaxiz	swuwO	A.pa	vanx	vax2
BvAxiH	Baxiz	kalyANe	A.pa	Banx	Bax1
BvAxiH	Baxiz	suKe	A.pa	Banx	Bax1
BvAxiH	maxiz	gawO	A.pa	-	max1
BvAxiH	maxiz	kAnwO	A.pa	-	max1
BvAxiH	maxiz	maxe	A.pa	manx#1	max1
BvAxiH	maxiz	moxane	A.pa	manx#1	max1
BvAxiH	maxiz	svapne	A.pa	-	max1
BvAxiH	maxiz	swuwO	A.pa	manx#1	max1
BvAxiH	spaxiz	kiFciccalane	A.pa	spanx	spax1
BvAxiH	muxaz	harRe	A.pa	mux#1	mux1
BvAxiH	xaxaz	xAne	A.pa	-	xax1
BvAxiH	Rvaxaz	AsvAxane	A.pa	svax	Rvax1
BvAxiH	svarxaz	AsvAxane	A.pa	-	svarx1
BvAxiH	urxaz	krIdAyAm	A.pa	-	urx1
BvAxiH	urxaz	mAne	A.pa	-	urx1
BvAxiH	kurxaz	krIdAyAm	A.pa	-	kurx1
BvAxiH	Kurxaz	krIdAyAm	A.pa	-	Kurx1
BvAxiH	gurxaz	krIdAyAm	A.pa	-	gurx1
BvAxiH	guxaz	krIdAyAm	A.pa	-	gux1
BvAxiH	hrAxaz	avyakwe_Sabxe	A.pa	hrAx	hrAx1
BvAxiH	hlAxIz	avyakwe_Sabxe	A.pa	-	hlAx1
BvAxiH	hlAxIz	suKe	A.pa	hlAx	hlAx1
BvAxiH	svAxaz	AsvAxane	A.pa	-	svAx1
BvAxiH	parxaz	kuwsiwe_Sabxe	A.pa	-	parx1
BvAxiH	yawIz	prayawne	A.pa	yaw#1	yaw1
BvAxiH	yuwqz	BAsane	A.pa	-	yuw1
BvAxiH	juwqz	BAsane	A.pa	-	juw1
BvAxiH	viWqz	yAFcAyAm	A.pa	-	viW1
BvAxiH	veWqz	yAFcAyAm	A.pa	-	veW1
BvAxiH	SraWiz	SEWilye	A.pa	-	SraW1
BvAxiH	graWiz	kOtilye	A.pa	-	graW1
BvAxiH	kawWaz	SlAGAyAm	A.pa	kawW	kawW1
BvAxiH	awaz	sAwawyagamane	pa.pa	aw	aw1
BvAxiH	ciwIz	saMjFAne	pa.pa	ciw#1	ciw1
BvAxiH	cyuwizr	Asecane	pa.pa	cyu	cyuw1
BvAxiH	Scyuwizr	kRaraNe	pa.pa	Scuw#1	Scyuw1
BvAxiH	manWaz	hiMsAyAm	pa.pa	manW	manW1
BvAxiH	manWaz	safkleSane	pa.pa	manW	manW1
BvAxiH	manWaz	vilodane	pa.pa	manW	manW1
BvAxiH	kuWiz	hiMsAyAm	pa.pa	kunW	kuW1
BvAxiH	kuWiz	safkleSane	pa.pa	kunW	kuW1
BvAxiH	puWez	gawO	pa.pa	-	puW1
BvAxiH	puWiz	hiMsAyAm	pa.pa	-	puW2
BvAxiH	puWiz	safkleSane	pa.pa	-	puW2
BvAxiH	luWiz	hiMsAyAm	pa.pa	-	luW1
BvAxiH	luWiz	safkleSane	pa.pa	-	luW1
BvAxiH	maWiz	hiMsAyAm	pa.pa	-	maW2
BvAxiH	maWiz	safkleSane	pa.pa	-	maW2
BvAxiH	RiXuz	gawyAm	pa.pa	siX#2	RiX2
BvAxiH	RiXUz	SAswre	pa.pa	-	RiX1
BvAxiH	KAxqz	BakRaNe	pa.pa	KAx	KAx1
BvAxiH	Kaxaz	hiMsAyAm	pa.pa	-	Kax1
BvAxiH	Kaxaz	sWErye	pa.pa	-	Kax1
BvAxiH	baxaz	sWErye	pa.pa	-	bax1
BvAxiH	gaxaz	vyakwAyAM_vAci	pa.pa	gax	gax1
BvAxiH	raxaz	vileKane	pa.pa	rax	rax1
BvAxiH	Naxaz	avyakwe_Sabxe	pa.pa	nax	Nax1
BvAxiH	Naxaz	Sabxe	pa.pa	nax	Nax1
BvAxiH	arxaz	gawO	pa.pa	arx	arx1
BvAxiH	arxaz	yAFcAyAm	pa.pa	-	arx1
BvAxiH	narxaz	Sabxe	pa.pa	narx	narx1
BvAxiH	garxaz	Sabxe	pa.pa	garx	garx1
BvAxiH	warxaz	hiMsAyAm	pa.pa	-	warx1
BvAxiH	karxaz	kuwsiwe_Sabxe	pa.pa	-	karx1
BvAxiH	Karxaz	xanxaSUke	pa.pa	-	Karx1
BvAxiH	awiz	banXane	pa.pa	-	aw2
BvAxiH	axiz	banXane	pa.pa	-	ax1
BvAxiH	ixiz	paramESvarye	pa.pa	inx	ix1
BvAxiH	bixiz	avayave	pa.pa	-	bix1
BvAxiH	gadiz	vaxanEkaxeSe	pa.pa	-	gad2
BvAxiH	Nixiz	kuwsAyAm	pa.pa	ninx	Nix1
