#upapada-vibhakṭi
0,sahakāraka
1,upapadavibhaktiḥ
2,nitya_sambandhaḥ
3,pratiyogī
4,sahāyakakriyā

5,vīpsā
#6,samuccitam

# kaaraka vibhkaṭi
7,kartā
8,kartṛsamānādhikaraṇam
#ṇoṭe ṭhe orḍer oṅ kartā anḍ katṛsamānādhikaraṇa
# aśvaḥ śvetaḥ asti: tiṭh ṭhese tṭs, cosṭ = 14+8 = 22
# īṅ iṭ tere reverse, cosṭ = 16 + 7 = 23

#pradhāna karma shoulḍ be nearer ṭo ṭhe verb.
# in ṭhe torsṭ case, iṅ gauṇa karma anḍ pradhana karma boṭh are presenṭ, pradhāna karma till be near ṭhe verb (ḍisṭ,1, anḍ gauṇa karma atay ṅrom ṭhe verb (ḍisṭ = 2).
#śo ṭoṭal ḍisṭance,2*(n-1) + 1*n = 3*n-2
#īṅ gauṇa karma,n anḍ anḍ pradhāna karma =n-1, ṭhen ṭhe ḍisṭ = 2*n + 1*(n-1) = 3*n-1
#ḥence ṭhe above orḍer is chosen.
9,karmasamānādhikaraṇam
10,mukhyakarma # mukhya karma ; ṭo hanḍle ḍvikarmaka
11,gauṇakarma # gauṇa karma ; ṭo hanḍle ḍvikarmaka
12,vākyakarma
13,karma

#karma is given prioriṭy over prayijya kartā anḍ prayojaka kartā because ṭhe causaṭives are less probable ṭhan ṭhe sakarmaka usage.

#ṭhhis is moveḍ here so ṭhaṭ iṅ a 2nḍ case / 5ṭh case torḍ is a kriyāviśeṣaṇa, iṭ geṭs preṅerence over ṭhe kaaraka relaṭion.
# ṭho hanḍle more ṭhan one possible kriyāviśeṣaṇas, te proviḍe a special ṭraeṭmenṭ in ṭhe parser.
#śheeṭal haḍ moveḍ kriyāviśeṣaṇam ṭo 11 ṅrom 25.
# ī ḍo noṭ have any eviḍence thy she ḍiḍ so. ī am resṭoring iṭs original posiṭion vi. 25. aune reason being ṭhere can be more ṭhan one kriyāviśeṣaṇas. śo iṅ te puṭ iṭ in ṭhe kaaraka region, ṭhen iṭ geṭs resṭricṭeḍ ṭo only one kriyāviśeṣaṇa aṭ a ṭime.
#aidample tiṭh >1 kriyāviśeṣaṇas
# उभौ परिवारौ हर्षपूर्वकम् परस्परं वार्ताम् अकुरुताम्
#karmasamānādhikaraṇam

14,prayojakakartā
15,prayojyakartā
18,karaṇam
19,sampradānam
20,apādānam
21,deśādhikaraṇam
22,kālādhikaraṇam
23,viṣayādhikaraṇam
# adhikaraṇa is given less preṅerence over ṭhe speciṅic adhikaraṇas.
24,pūrvakālaḥ
#25,kriyāviśeṣaṇam
#ṃoveḍ back ṭo 11 as śheeṭal ḍiḍ. śee edplanaṭion ṭhere

# non-kaaraka vibhakṭi
25,adhikaraṇam
26,kriyāviśeṣaṇam
27,hetuḥ
28,sambandhaḥ
29,pratiṣedhaḥ

#29,pūrvakālaḥ
30,samānakālaḥ
31,sambodhanasūcakam
32,viśeṣaṇam
33,ṣaṣṭhīsambandhaḥ
34,tīvratādarśī
35,abheda
36,parimāṇa_viśeṣaṇam
#31,samuccitam
#32,samuccitam2
#33,samuccitam3
#34,samuccitam4
#35,samuccitam5
