Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	Hindi_meaning	English_meaning	samaasa	prayoga
1	अथ 	9	अथ 	अथ{अव्य}/अथ{अव्य} 	अथ{अव्य} 	सम्बन्धः,15	उसके बाद	thereafter		
2	अच्युतः 	15	अच्युतः 	अच्युत{पुं}{1;एक}/च्युत्1{कर्तरि;लुङ्;म;एक;परस्मैपदी;च्युतिँर्;भ्वादिः} 	अच्युत{पुं}{1;एक} 	कर्ता,15****	अच्युत 	Srïkŗśņa	<न-च्युतः>B6	
3	विसारिभिः 	6	विसारिभिः 	विसारिन्{पुं}{3;बहु}/विसारिन्{नपुं}{3;बहु} 	विसारिन्{पुं}{3;बहु} 	विशेषणम्,4 	फैलते_हुए	spreading		
4	द्विज-आवलि-व्याज-निशाकर-अंशुभिः 	11	द्विजावलिव्याजनिशाकरांशुभिः 	द्विज-आवलि-व्याज-निशाकर-अंशु{पुं}{3;बहु} 	द्विज-आवलि-व्याज-निशाकर-अंशु{पुं}{3;बहु} 	करण,12	दन्तपंक्तिरूपी चन्द्रमा_की किरणों_से	rays of the moon in the form of the row of his teeth	<<<<द्विज-आवलिः>T6-व्याजः>B6-निशाकरः>K3-अंशवः>T6	
5	सितं 	1	सितं 	सित{पुं}{2;एक}/सित{नपुं}{1;एक}/सित{नपुं}{2;एक} 	सि2{कृत्_प्रत्ययः:क्त;षिञ्;क्र्यादिः;पुं}{2;एक} ****	****	सफेद_को 	white		
6	मुनेः 	4	मुनेः 	मुनि{पुं}{5;एक}/मुनि{पुं}{6;एक} 	मुनि{पुं}{6;एक} 	षष्ठिसम्बन्धः,7	मुनि_के	of sage		
7	वपुः	5	वपुः	वपुस्{नपुं}{2;बहु}	वपुस्{नपुं}{2;बहु}	****	शरीर_को	body		
8	सौधम् 	7	सौधम् 	सौध{पुं}{2;एक}/सौध{नपुं}{1;एक}/सौध{नपुं}{2;एक} 	सौध{पुं}{2;एक} 	प्रतियोगी,9	महल_के	whitewashed mansion		
9	इव 	8	इव 	इव{अव्य} 	इव{अव्य}	अनुयोगी,10	जैसे 	like		
10	सुतरां 	3	सुतरां 	सुतरा{अव्य}	सुतरा{अव्य}	क्रिया-विशेषणम्,12	अत्यन्त	very much		
11	सितिम्ना 	2	सितिम्ना 	सितिमन्{पुं}{3;एक} 	सितिमन्{पुं}{3;एक} 	करण,12	सफेद_से	by whiteness		
12	लम्भयन् 	10	लम्भयन् 	लभ्1{कृत्_प्रत्ययः:शतृ;णिजन्त;भ्वादिः;पुं}{1;एक}	लभ्1{कृत्_प्रत्ययः:शतृ;णिजन्त;भ्वादिः;पुं}{1;एक}	****	करते_हुए	while causing		
13	शुचिस्मितां 	12	शुचिस्मितां 	शुचिस्मिता{स्त्री}{2;एक} 	शुचिस्मिता{स्त्री}{2;एक} 	विशेषणम्,14	स्वच्छ स्मितयुक्त	fresh smile	<शुचि-स्मिता>B6	
14	वाचम् 	13	वाचम् 	वाच्{स्त्री}{2;एक}/वाच{पुं}{2;एक} 	वाच्{स्त्री}{2;एक} 	मुख्यकर्म,15	वाणी_को 	speech		
15	अवोचत्. 	14	अवोचत् 	वच्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;वचँ;अदादिः}/ब्रू1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः}. 	वच्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;वचँ;अदादिः}. 	0	बोला. 	spoke.		<सकर्मककर्तरि>
