Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	जगति 	1	जगति 	जगत्{पुं}{7;एक}/जगत्{नपुं}{7;एक}/जगती{स्त्री}{8;एक} 	जगत्{न.पुं}{7;एक} ****	अधिकरणम्,14 	विश्व_में 	in the world		
2	अपर्याप्त-सहस्रभानुना 	2	अपर्याप्तसहस्रभानुना 	अपर्याप्त-सहस्रभानु{पुं}{3;एक}/सहस्रभानु{नपुं}{3;एक} 	अपर्याप्त-सहस्रभानु{पुं}{3;एक} 	कर्ता,14 	अपर्याप्त-सहस्रकिरणों_वाले	with boundless thousands of rays	<<<न-पर्याप्तं>Tn-सहस्र>B6-भानु>T3	
3	भानुना 	7	भानुना 	भानु{पुं}{3;एक} 	भानु{पुं}{3;एक} 	कर्ता,9 	भानु_के_द्वारा 	by the Sun		
4	यत् 	4	यत् 	यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}/यत्{अव्य} 	यद्{नपुं}{1;एक} 	विशेषणम्,5 	जिस	which		
5	तमः 	16	तमः 	तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक} 	तमस्{नपुं}{1;एक} 	कर्म,9 	अन्धकार_को	darkness		
6	नियन्तुं	5	नियन्तुं	नी{पुं}{2;एक} 	नी{पुं}{2;एक} ****		दूर_करना	to control		
7	न 	3	न 	न{अव्य} 	न{अव्य} 	सम्बन्धः,9 	नहीं	cannot		
8	समभावि 	6	समभावि 	सम्_अस्2{भावे;लुङ्;प्र;एक;आत्मनेपदी;असँ;अदादिः}/सम्_भू1{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;भू;भ्वादिः} 	सम्_भू1{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;भू;भ्वादिः} 	अभिहित_कर्म,5 	सम्भव_नहीं_हो 	possible	<न-उत्तमम्>B5	सकर्मककर्तरि
9	अनुत्तमम् 	15	अनुत्तमम् 	अनुत्तम{नपुं}{1;एक}/अनुत्तम{नपुं}{2;एक} 	अनुत्तम{नपुं}{1;एक} 	विशेषणम्,11 	सबसे बडे	the greatest		
10	अदः 	12	अदः 	अदस्{नपुं}{1;एक}/अदस्{नपुं}{2;एक}/अद{पुं}{1;एक}/अदस्{स्त्री}{1;एक} 	अदस्{नपुं}{1;एक} 		उस	that		
11	त्वया 	13	त्वया 	युष्मद्{3;एक} 	युष्मद्{3;एक} 	करणम्,14 	तुमसे 	by you		
12	असङ्ख्यतां 	10	असङ्ख्यतां 	असङ्ख्यता{स्त्री}{2;एक} 	असङ्ख्यता{स्त्री}{2;एक} 	कर्म,14 	असङ्ख्यता_को 	innumerable	<न-सङ्ख्यानम्>B6	
13	गतैः 	11	गतैः 	गत{नपुं}{3;बहु}/गत{पुं}{3;बहु} 	गम्1{कृत्_प्रत्ययः:क्त;गमॢँ;भ्वादिः}{नपुं}{3;बहु} 	विशेषणम्,15 	प्राप्त	****		
14	तेजोभिः 	9	तेजोभिः 	तेजस्{नपुं}{3;बहु} 	तेजस्{नपुं}{3;बहु} 	हेतुः,16 	तेज_से 	by powers		
15	प्रसह्य 	8	प्रसह्य 	प्र_सह्1{कृत्_प्रत्ययः:ल्यप्;षहँ;भ्वादिः}/प्र_सह्2{कृत्_प्रत्ययः:ल्यप्;षहँ;दिवादिः}/प्र_सह्3{कृत्_प्रत्ययः:ल्यप्;षहँ;चुरादिः} 	प्र_सह्1{कृत्_प्रत्ययः:ल्यप्;षहँ;भ्वादिः} 		बल_पूर्वक	by force		
16	नुन्नम्. 	14	नुन्नम् 	नुन्न{पुं}{2;एक}/नुन्न{नपुं}{1;एक}/नुन्न{नपुं}{2;एक}. 	नुन्न{पुं}{2;एक}/नुन्न{नपुं}{1;एक}/नुन्न{नपुं}{2;एक}. ****	0	दूर_कर_दिया	driven away		कर्मणि
